1    1000   42.466153   1
2    1414   43.266361   1.9630101547
3    1732   43.269179   2.9443234641
4    2000   43.458046   3.9087033964
5    2236   44.989008   4.7196142889
6    2449   45.360969   5.6170960104
7    2645   45.191835   6.5778048402
8    2828   45.003939   7.5488775327
9    3000   45.392402   8.4198094871
10   3162   45.667459   9.2989962503
11   3316   46.182166   10.1148933335
12   3464   46.003736   11.0772272061
13   3605   46.395187   11.8990788635
14   3741   46.870503   12.6844412572
15   3872   46.182995   13.7927887743
16   4000   46.037159   14.7589135116
17   4123   46.141023   15.6460467077
18   4242   48.11779    15.8858242243
19   4358   47.821283   16.8723391842
20   4472   48.033918   17.6817360599
21   4582   48.465482   18.4005022998
22   4690   48.634453   19.2097434714
23   4795   47.712268   20.4710771452
24   4898   50.122529   20.3339235337

