2 6400000 12.82 0.01 0.02
4 6400000 16.87 0.01 0.02
8 6400000 24.32 0.01 0.01
16 6400000 22.55 0.01 0.02
32 6400000 17.33 0.02 0.04
64 6400000 15.27 0.02 0.04
